tracking_nr,order_nr,package_nr,fk_delivery_company,return_reasons,shipped_date,delivered_date,receivables,status
5005646579,324678162,324678162-9754,1,,2018-07-02,2018-07-03,174,
5005646581,373878162,373878162-6101,1,,2018-07-02,2018-07-03,1444.15,
5005645753,351456162,MPDS-351456162-5244,1,,2018-07-02,2018-07-04,328.66,
5005646319,398928162,MPDS-398928162-2199,1,,2018-07-02,2018-07-04,295,
5005646585,332888162,332888162-7766,1,,2018-07-02,2018-07-03,410,
5005646586,379788162,379788162-5487,1,,2018-07-02,2018-07-03,498.51,
5005646590,377678162,377678162-3437,1,,2018-07-02,2018-07-03,144,
5005645639,393586162,MPDS-393586162-9278,1,,2018-07-02,2018-07-04,626.73,
5005645638,368136162,MPDS-368136162-1111,1,,2018-07-02,2018-07-04,1245,
5005645383,376466162,MPDS-376466162-8262,1,,2018-07-02,2018-07-04,474,
5005646436,371488162,MPDS-371488162-5228,1,,2018-07-02,2018-07-04,1465.33,
5005645460,379686162,MPDS-379686162-9302,1,,2018-07-02,2018-07-04,1498,
5005645555,367126162,MPDS-367126162-6227,1,,2018-07-02,2018-07-04,1693.9,
5005645876,391179162,MPDS-391179162-7324,1,,2018-07-02,2018-07-04,375,
5005645544,367126162,MPDS-367126162-5273,1,,2018-07-02,2018-07-04,2782.37,
5005645545,393786162,MPDS-393786162-3007,1,,2018-07-02,2018-07-04,418.9,
5005645546,393586162,MPDS-393586162-4752,1,R 3- Customer - presentation different on website,2018-07-02,2018-07-04,868.27,
5005645626,389636162,MPDS-389636162-2202,1,,2018-07-02,2018-07-04,601.58,
5005645823,386549162,MPDS-386549162-5597,1,,2018-07-02,2018-07-04,799.5,
5005645345,384852162,MPDS-384852162-2634,1,,2018-07-02,2018-07-04,1227.43,
5005645570,341986162,MPDS-341986162-1748,1,,2018-07-02,2018-07-10,1488.5,
5005645571,341986162,MPDS-341986162-1684,1,,2018-07-02,2018-07-10,1488.5,
5005646101,383848162,MPDS-383848162-6237,1,,2018-07-02,2018-07-04,2933.76,
5005645425,397496162,MPDS-397496162-9685,1,,2018-07-02,2018-07-04,79.38,
5005645734,371429162,MPDS-371429162-2245,1,,2018-07-02,2018-07-04,406.33,
5005645773,374699162,MPDS-374699162-3068,1,,2018-07-02,2018-07-04,264,
5005645587,384986162,MPDS-384986162-8901,1,,2018-07-02,2018-07-04,944,
