tracking_nr,cod_received,chq_nr,deposit_date
5005633442,1102,Direct Deposit,2018-07-21
5005633451,857,Direct Deposit,2018-07-21
5005633452,840,Direct Deposit,2018-07-21
5005633459,439,Direct Deposit,2018-07-21
5005633460,1401,Direct Deposit,2018-07-21
5005633478,1521,Direct Deposit,2018-07-21
5005633481,516,Direct Deposit,2018-07-21
5005633483,405,Direct Deposit,2018-07-21
5005633486,129,Direct Deposit,2018-07-21
5005633492,119,Direct Deposit,2018-07-21
5005633494,395,Direct Deposit,2018-07-21
5005633499,296,Direct Deposit,2018-07-21
5005633508,181,Direct Deposit,2018-07-21
5005633511,1001,Direct Deposit,2018-07-21
5005633513,195,Direct Deposit,2018-07-21
5005633514,1601,Direct Deposit,2018-07-21
5005633518,368,Direct Deposit,2018-07-21
5005633524,2570,Direct Deposit,2018-07-21
5005633532,877,Direct Deposit,2018-07-21
5005633541,712,Direct Deposit,2018-07-21
5005633543,272,Direct Deposit,2018-07-21
5005633547,293,Direct Deposit,2018-07-21
5005633560,1952,Direct Deposit,2018-07-21
5005633561,1182,Direct Deposit,2018-07-21
5005633580,261,Direct Deposit,2018-07-21
5005633582,51,Direct Deposit,2018-07-21
5005633585,1870,Direct Deposit,2018-07-21
5005633592,205,Direct Deposit,2018-07-21
5005633603,436,Direct Deposit,2018-07-21
5005633604,653,Direct Deposit,2018-07-21
5005633606,155,Direct Deposit,2018-07-21
5005633608,676,Direct Deposit,2018-07-21
5005633622,549,Direct Deposit,2018-07-21
5005633624,206,Direct Deposit,2018-07-21
5005633631,757,Direct Deposit,2018-07-21
5005633636,197,Direct Deposit,2018-07-21
5005633637,852,Direct Deposit,2018-07-21
5005633638,446,Direct Deposit,2018-07-21
5005633650,93,Direct Deposit,2018-07-21
5005633658,296,Direct Deposit,2018-07-21
5005633666,956,Direct Deposit,2018-07-21
5005633681,987,Direct Deposit,2018-07-21
5005633684,196,Direct Deposit,2018-07-21
5005633690,1480,Direct Deposit,2018-07-21
5005633695,193,Direct Deposit,2018-07-21
5005633696,633,Direct Deposit,2018-07-21
5005633701,606,Direct Deposit,2018-07-21
5005633702,36,Direct Deposit,2018-07-21
5005633704,2600,Direct Deposit,2018-07-21
5005633706,1146,Direct Deposit,2018-07-21
5005633710,115,Direct Deposit,2018-07-21
5005633714,2316,Direct Deposit,2018-07-21
5005633715,501,Direct Deposit,2018-07-21
5005633718,251,Direct Deposit,2018-07-21
5005633719,247,Direct Deposit,2018-07-21
5005633722,789,Direct Deposit,2018-07-21
5005633726,204,Direct Deposit,2018-07-21
5005633728,201,Direct Deposit,2018-07-21
5005633732,162,Direct Deposit,2018-07-21
5005633740,393,Direct Deposit,2018-07-21
5005633741,831,Direct Deposit,2018-07-21
5005633746,831,Direct Deposit,2018-07-21
5005633749,497,Direct Deposit,2018-07-21
5005633773,941,Direct Deposit,2018-07-21
5005633774,675,Direct Deposit,2018-07-21
5005633782,1663,Direct Deposit,2018-07-21
5005633789,1096,Direct Deposit,2018-07-21
5005633791,25,Direct Deposit,2018-07-21
5005633792,1302,Direct Deposit,2018-07-21
5005633800,701,Direct Deposit,2018-07-21
5005633806,1876,Direct Deposit,2018-07-21
5005633807,381,Direct Deposit,2018-07-21
5005633808,301,Direct Deposit,2018-07-21
5005633809,85,Direct Deposit,2018-07-21
5005633813,794,Direct Deposit,2018-07-21
5005633817,392,Direct Deposit,2018-07-21
5005633819,850,Direct Deposit,2018-07-21
5005633822,955,Direct Deposit,2018-07-21
5005633823,1411,Direct Deposit,2018-07-21
5005633830,335,Direct Deposit,2018-07-21
5005633831,2462,Direct Deposit,2018-07-21
5005633832,227,Direct Deposit,2018-07-21
5005633834,1692,Direct Deposit,2018-07-21
5005633836,695,Direct Deposit,2018-07-21
5005633840,298,Direct Deposit,2018-07-21
5005633841,1486,Direct Deposit,2018-07-21
5005633848,347,Direct Deposit,2018-07-21
5005633863,1,Direct Deposit,2018-07-21
5005633868,854,Direct Deposit,2018-07-21
5005633876,147,Direct Deposit,2018-07-21
5005633888,497,Direct Deposit,2018-07-21
5005633889,153,Direct Deposit,2018-07-21
5005633891,174,Direct Deposit,2018-07-21
5005633895,577,Direct Deposit,2018-07-21
5005633900,18,Direct Deposit,2018-07-21
5005633902,113,Direct Deposit,2018-07-21
5005633903,101,Direct Deposit,2018-07-21
5005633907,108,Direct Deposit,2018-07-21
5005633917,317,Direct Deposit,2018-07-21
5005633944,1331,Direct Deposit,2018-07-21
5005633959,1206,Direct Deposit,2018-07-21
5005633967,1038,Direct Deposit,2018-07-21
5005633971,1073,Direct Deposit,2018-07-21
5005633978,1907,Direct Deposit,2018-07-21
5005633983,2395,Direct Deposit,2018-07-21
5005633986,1681,Direct Deposit,2018-07-21
5005633995,705,Direct Deposit,2018-07-21
5005634002,457,Direct Deposit,2018-07-21
5005634011,184,Direct Deposit,2018-07-21
5005634019,151,Direct Deposit,2018-07-21
5005634020,962,Direct Deposit,2018-07-21
5005634022,197,Direct Deposit,2018-07-21
5005634029,641,Direct Deposit,2018-07-21
5005634030,1502,Direct Deposit,2018-07-21
5005634031,26,Direct Deposit,2018-07-21
5005634033,501,Direct Deposit,2018-07-21
5005634034,553,Direct Deposit,2018-07-21
5005634040,132,Direct Deposit,2018-07-21
5005634041,46,Direct Deposit,2018-07-21
5005634044,218,Direct Deposit,2018-07-21
5005634049,301,Direct Deposit,2018-07-21
5005634052,116,Direct Deposit,2018-07-21
5005634070,882,Direct Deposit,2018-07-21
5005634072,1304,Direct Deposit,2018-07-21
5005634082,197,Direct Deposit,2018-07-21
5005634095,437,Direct Deposit,2018-07-21
5005634102,764,Direct Deposit,2018-07-21
5005634129,356,Direct Deposit,2018-07-21
5005634133,811,Direct Deposit,2018-07-21
5005634134,2001,Direct Deposit,2018-07-21
5005634148,255,Direct Deposit,2018-07-21
5005634149,205,Direct Deposit,2018-07-21
5005634154,652,Direct Deposit,2018-07-21
5005634160,251,Direct Deposit,2018-07-21
5005634165,1700,Direct Deposit,2018-07-21
5005634166,1700,Direct Deposit,2018-07-21
5005634167,1700,Direct Deposit,2018-07-21
5005634168,1427,Direct Deposit,2018-07-21
5005634169,1700,Direct Deposit,2018-07-21
5005634170,1490,Direct Deposit,2018-07-21
5005634171,1700,Direct Deposit,2018-07-21
5005634172,1427,Direct Deposit,2018-07-21
5005634173,1700,Direct Deposit,2018-07-21
5005634174,1462,Direct Deposit,2018-07-21
5005634175,1700,Direct Deposit,2018-07-21
5005634179,1702,Direct Deposit,2018-07-21
5005634185,1490,Direct Deposit,2018-07-21
5005634186,1502,Direct Deposit,2018-07-21
5005634198,1001,Direct Deposit,2018-07-21
5005634199,1778,Direct Deposit,2018-07-21
5005634202,205,Direct Deposit,2018-07-21
5005634205,1700,Direct Deposit,2018-07-21
5005634206,1700,Direct Deposit,2018-07-21
5005634208,1700,Direct Deposit,2018-07-21
5005634211,180,Direct Deposit,2018-07-21
5005634222,18,Direct Deposit,2018-07-21
5005634237,262,Direct Deposit,2018-07-21
5005634238,1542,Direct Deposit,2018-07-21
5005634285,180,Direct Deposit,2018-07-21
5005634289,822,Direct Deposit,2018-07-21
